name,year,logo
Ansible,2012,Ansible.png
Chef,2009,Chef.png
Deno,2018,Deno.png
Docker,2013,Docker.png
Flow,null,null
Git,2005,Git.png
Kubernetes,2014,Kubernetes.png
Pulumi,null,null
Puppet,2005,Puppet.png
Terraform,2014,Terraform.png
Unity 3D,null,Unity_3D.png
Unreal Engine,null,Unreal_Engine.png
Xamarin,null,Xamarin.png
Yarn,null,null
